UBCohort	"Type=timeSeriesBy,x=asofdate, NonBlank=yes, KeepByVarOrder=1/y=cpr1: currb, DateWindowPeriod_by=cont: range: 199404: 201901: 298m, Product_by=list: grid: fn_fix_30: fn_fix_15: fh_fix_30: fh_fix_15: g1_fix_30: g1_fix_15: g2_fix_30: g2_fix_15, ExcludePoolType=RF, Season_by=list: grid: Jan: Feb: Mar: Apr: May: Jun: Jul: Aug: Sep: Oct: Nov: Dec: all, JointDistribution=DateWindowPeriod_by: Product_by: Season_by,"
Script finished successfully Began at: 02/18/2019 09:36:01 Ended at: 02/18/2019 09:39:05 Ran for (hh:mm:ss): 00:03:04 1524757366 www.kdsglobal.com/kds

Asofdate	by_Product	by_season	Cpr1	CBal	
  199404 -   201901	g1_fix_15	Feb	12.3619	486,217,247,717	
  199404 -   201901	g1_fix_15	Mar	14.4077	483,770,335,091	
  199404 -   201901	g1_fix_15	Apr	14.3234	511,326,773,028	
  199404 -   201901	g1_fix_15	May	14.1979	511,462,939,509	
  199404 -   201901	g1_fix_15	Jun	14.0768	509,294,895,739	
  199404 -   201901	g1_fix_15	Jul	14.1028	507,246,038,376	
  199404 -   201901	g1_fix_15	Aug	14.2896	504,554,558,323	
  199404 -   201901	g1_fix_15	Sep	13.1678	502,655,351,793	
  199404 -   201901	g1_fix_15	Oct	13.6451	499,784,238,499	
  199404 -   201901	g1_fix_15	Nov	13.0389	497,659,891,803	
  199404 -   201901	g1_fix_15	Dec	13.4915	495,128,703,629	
  199404 -   201901	g1_fix_15	All	13.6023	6,003,157,810,719	
  199404 -   201901	g2_fix_30	Jan	13.9814	10,944,240,084,660	
  199404 -   201901	g2_fix_30	Feb	15.5143	9,424,915,183,736	
  199404 -   201901	g2_fix_30	Mar	17.3050	9,495,969,049,150	
  199404 -   201901	g2_fix_30	Apr	16.6685	9,630,967,303,113	
  199404 -   201901	g2_fix_30	May	16.8030	9,759,584,515,358	
  199404 -   201901	g2_fix_30	Jun	17.0597	9,900,804,061,882	
  199404 -   201901	g2_fix_30	Jul	16.5071	10,065,871,142,487	
  199404 -   201901	g2_fix_30	Aug	17.0140	10,230,650,543,888	
  199404 -   201901	g2_fix_30	Sep	16.1786	10,393,445,386,891	
  199404 -   201901	g2_fix_30	Oct	16.6020	10,538,284,857,023	
  199404 -   201901	g2_fix_30	Nov	15.8972	10,677,995,143,226	
  199404 -   201901	g2_fix_30	Dec	16.1014	10,800,219,416,717	
  199404 -   201901	g2_fix_30	All	16.2851	121,862,946,688,133	
  199404 -   201901	g2_fix_15	Jan	10.8094	265,146,170,079	
  199404 -   201901	g2_fix_15	Feb	10.9618	233,200,953,865	
  199404 -   201901	g2_fix_15	Mar	13.4318	235,683,404,647	
  199404 -   201901	g2_fix_15	Apr	13.0856	240,331,806,305	
  199404 -   201901	g2_fix_15	May	13.3021	243,911,165,140	
  199404 -   201901	g2_fix_15	Jun	13.2631	247,317,313,861	
  199404 -   201901	g2_fix_15	Jul	12.9056	249,559,225,275	
  199404 -   201901	g2_fix_15	Aug	13.3007	251,876,143,182	
  199404 -   201901	g2_fix_15	Sep	12.3241	254,926,451,969	
  199404 -   201901	g2_fix_15	Oct	13.0311	256,978,330,261	
  199404 -   201901	g2_fix_15	Nov	12.4137	259,686,728,547	
  199404 -   201901	g2_fix_15	Dec	12.3772	262,278,386,166	
  199404 -   201901	g2_fix_15	All	12.5968	3,000,896,079,297	
