YYYYQQ	AK	AL	AR	AZ	CA	CO	CT	DC	DE	FL	GA	GU	HI	IA	ID	IL	IN	KS	KY	LA	MA	MD	ME	MI	MN	MO	MS	MT	NC	ND	NE	NH	NJ	NM	NV	NY	OH	OK	OR	PA	PR	RI	SC	SD	TN	TX	UT	VA	VI	VT	WA	WI	WV	WY	ZZ
199101	122.84	149.25	129.94	134.84	228.78	131.17	240.6	189.87	228.85	155.09	161.05	166.56	256.84	121.23	127.97	172.43	142.85	119.84	147.73	102.86	289.91	203.73	232.39	150.71	141.89	147.47	126.98	119.71	163.79	113.09	128.18	200.75	230.96	136.11	150.47	278.2	147	102.4	136.37	196.82	166.56	256.58	162.74	128.65	147.5	118.59	122.88	187.81	166.56	213.73	181.57	139.99	107.27	90.16	166.56
199102	125.7	151.62	130.71	135.95	227.34	132.78	237.21	191.6	229.39	155.64	161.67	167.7	259.3	122.53	128.37	174.23	144.07	120.67	148.96	105.23	286.89	205.94	235.82	152.77	143.02	148.21	125.95	123.95	165.03	114.26	129.51	197.61	229.26	137.6	151.63	280.02	149.05	103.71	139.41	198.29	167.7	251.02	164.26	132.05	148.26	119.9	125.05	188.46	167.7	214.03	183.33	141.94	110.34	94.04	167.7
199103	129.6	152.35	131.84	135.29	227.35	133.88	234.53	189.59	229.38	155.35	161.17	167.98	259.41	123.67	131.51	175.46	145.15	120.82	149.73	106.26	283.58	205.41	231.68	153.96	143.38	148.61	126.09	125.97	165.31	114.46	130.76	193.37	228.01	138.38	152.35	279.2	150.06	103.95	141.82	198.45	167.98	248.13	165.18	130.81	148.43	119.87	125.2	186.99	167.98	213.24	184.03	144.07	108.86	95.53	167.98
199104	129.86	154.86	134.05	139.21	229.03	136.12	236.79	192.82	232.51	158.01	162.95	170.35	263.32	125.5	134.46	177.88	147.25	122.43	151.64	107.92	286.31	209.43	234.47	155.85	145.9	150.25	129.35	130.33	167.7	115.51	131.49	193.94	230.65	140.47	155.62	281.35	152.28	105.92	144.9	202.01	170.35	251.1	167.82	133.43	150.9	121.31	128.04	190.46	170.35	213.8	187.87	145.48	111.83	96.58	170.35
199201	131.23	156.13	135.06	140.04	227.8	138.16	237.75	195.82	232.75	159.97	163.96	171.66	262.55	125.94	135.8	179.08	148.49	123.08	152.64	109.18	285.39	210.27	235.52	157.13	146.6	151.03	131.06	132.31	168.8	117.96	133.29	193.91	232.48	144.11	157.01	286.59	153.98	106.56	147.85	203.06	171.66	249.75	168.68	136.95	152.24	123.32	129.93	191.67	171.66	214.05	188.77	147.18	112.29	97.44	171.66
199202	132.67	156.42	134.28	139.72	225.44	141.24	233.21	195.84	231.21	158.54	164.23	171.63	261.82	127.98	137.37	180.64	149.88	123.66	153.89	110.3	281.94	208.88	230.79	158.15	147.42	151.42	131.32	134.33	169.16	118.06	135.18	189.56	230.56	144.91	156.42	282.74	154.99	106.58	149.75	202.77	171.63	246.44	168.95	137	151.73	122.8	132	189.9	171.63	214.89	190.46	149.79	114.61	98.75	171.63
199203	133.45	159.34	136.81	140.57	225	144.25	234.02	195.51	232.22	161.21	167.57	173.59	264.15	129.63	140.35	182.35	152.16	125.1	155.93	111.74	283.52	210.88	231.75	159.33	149.18	152.48	132.17	138.28	171.19	119.5	137.26	188.77	232.39	145.82	159.37	285.83	157.13	108.21	153.41	204.67	173.59	246.51	171.46	141.03	155.19	124.9	134.2	192.39	173.59	216.71	193.14	151.63	115.48	100.86	173.59
199204	134.21	160.59	137.56	141.33	222.9	147.01	233.78	194.01	234.21	161.32	167.85	174.46	264.78	130.77	144.1	184.01	152.98	125.46	157.3	112.84	284.15	211.58	233.49	160.55	150.13	153.37	132.74	142.51	171.9	120.58	138.15	188.77	233.76	148.09	160.27	287.84	158.67	108.69	156.28	206.01	174.46	247.48	172.17	142.62	154.91	125.51	137.72	192.96	174.46	217.03	195.12	153.6	116.76	102.9	174.46
199301	133.84	161.78	138.8	141.45	219.39	149.71	230.19	192.99	233.11	161.48	168.23	174.53	263.99	131.94	145.44	185.14	154.02	126.19	158.07	113.71	282.24	210.9	230.11	161.18	151.42	153.43	133.26	145.11	172.33	121.38	139.39	187.2	233.6	149.85	160.11	282.63	159.41	109.02	158.49	205.73	174.53	246.07	172.33	144.11	155.61	125.87	140.64	192.48	174.53	216.47	195.95	154.81	117.56	103.31	174.53
199302	134.38	163.52	141	143.1	217.52	153.45	230.82	193.47	233.97	163.28	170.1	176.19	265.41	133.86	150.08	186.82	155.51	127.2	159.95	115.64	283.95	211.59	233.07	162.41	152.9	154.45	135.28	149.07	173.88	124.13	141.07	189.27	235.3	153.6	161.48	289.19	161.24	110.92	161.6	207.08	176.19	246.42	174.04	147.83	157.76	126.94	145.15	193.62	176.19	217.3	198.1	157	119.36	106.15	176.19
199303	136.69	166.4	143.46	144.25	215.67	157.75	230.8	194.03	233.38	164.51	171.22	177.62	264.18	136.58	154.1	188.75	157.4	128.95	161.17	117.7	284.97	212.31	231.31	163.85	154.83	155.54	137.1	151.85	175.67	126.44	143.31	189.63	235.8	156.54	162.82	288.27	163.17	112.42	165.45	207.88	177.62	245.6	176.13	150.63	159.83	128.43	150.39	193.99	177.62	218.21	200.8	159.25	121.75	109.36	177.62
199304	137.41	167.81	145.19	146.15	214.37	161.61	231.39	194.45	234.23	166.2	172.52	179.08	265.62	138.12	157.13	190.41	158.89	130.09	163.12	119.32	286.69	213.13	233.6	165.24	156.47	156.84	138.18	156.81	177.13	127.08	145.5	190.12	237.33	159.32	163.82	289.4	165.12	114.16	168.99	209.73	179.08	247.98	176.85	152.85	161.46	129.69	155.95	195.06	179.08	218.84	203.13	161.33	122.01	111.7	179.08
199401	138.62	168.87	148.15	148.12	212.24	166.5	229.48	195.95	233.43	165.96	173.02	180.22	266.74	140.71	157.95	193.09	160.58	132.32	165.77	121.42	286.9	213.58	233.36	167.11	157.41	158.48	140.28	159.12	178.65	128.78	147.4	190.65	237.89	164.48	163.97	286.12	167.04	114.73	173.25	209.7	180.22	246.68	177.83	156.53	163.17	130.37	162.21	195.52	180.22	219.88	205.65	165.61	124.66	114.31	180.22
199402	141.78	171.05	149.36	150.18	207.14	173.84	224.34	188.45	230.73	164.83	174.08	181.31	263.27	144.33	164.05	195.84	162.95	136.33	170.07	124.11	284.08	211.6	227.57	169.92	160.22	161.54	142.37	166.05	181.36	132.51	152.25	187.25	235.9	169.53	164.67	282.33	169.78	116.97	179.35	208.58	181.31	240.39	179.09	158.55	165.44	130.71	171.33	195.22	181.31	217.27	209.46	171.67	125.81	117.04	181.31
199403	143.9	171.59	150.91	151.85	204.08	178.49	221.39	188.57	228.54	165.07	174.66	182.05	265.88	147.06	165.9	197.47	164.91	137.96	171.63	125.31	283.83	209.73	226.07	173.26	161.43	164.03	143.91	170.35	183.78	134.15	156.02	184.59	233.63	173.15	165.48	280.82	170.73	116.77	183.9	206.99	182.05	235.92	179.82	160.22	167.8	130.76	176.99	194.97	182.05	217.68	210.75	175.44	127.91	120.98	182.05
199404	142.6	171.84	152.47	153.74	201.05	179.51	218.66	181.79	227.37	164.95	175.4	181.9	259.22	147.22	167.11	197.83	165.03	139.26	173.52	125.24	281.55	207.71	222.36	175.41	162.06	164.44	146.22	171.14	185.95	134.51	155.86	184.08	230.86	175.74	165	275.66	172.24	117.11	187.13	205.33	181.9	233.2	180.42	163.48	168.98	130.11	180.16	194.8	181.9	218.26	210.29	175.66	127.03	122.19	181.9
199501	145.24	173.45	153.08	155.56	199.76	183.08	217.45	184.68	227.85	165.63	176.33	182.87	257.59	148.83	167.49	199.84	167.25	140.46	175.44	126.7	283.17	207.8	224.68	178.53	163.55	166.55	146.29	173.38	187.49	136.92	157.68	184.64	230.72	176.86	166.1	274.41	173.18	117.69	190.95	204.77	182.87	235.07	181.94	161.01	171.42	130.23	184.78	194.19	182.87	215.73	212.34	177.89	129.03	124.28	182.87
199502	147.52	176.84	157.24	158.37	201.61	186.69	220.17	183.54	228.98	167.63	179.67	185.85	260.45	152.11	171.87	202.71	170.19	143.36	178.27	129.24	288.49	210.48	228.03	182.03	166.68	168.56	149.41	177.05	190.07	138.34	160.72	187.13	233.21	181.44	169.61	279.03	176.5	119.78	195.66	208.12	185.85	237.85	184.21	167	174.77	132.49	189.98	196.85	185.85	220.44	214.92	181.79	131.07	126.86	185.85
199503	149.05	179.6	159.23	161.39	203.9	190.46	225.59	188.17	232.61	170.93	182.13	188.71	261.34	154.3	175.07	205.13	173.15	144.63	180.83	131.3	293.16	213.02	232.42	185.31	169.69	170.73	151.67	180.93	193.26	139.96	163.07	191	237.26	184.86	172.18	283.63	179.59	121.74	200.54	211.64	188.71	241.92	186.56	167.92	177.29	134.05	196.53	199.18	188.71	220.67	217.88	184.25	133.68	128.65	188.71
199504	149.18	180.99	159.9	163.25	203.62	193.39	225.77	191.82	232.5	172.32	184.86	190.19	261.98	155.71	176.65	207.02	175.16	146.84	182.45	132.64	294.79	214.84	232.55	188.44	171.86	172.23	153.24	181.78	195.17	140.61	164.11	193.53	237.83	186.15	173.71	282.84	181.81	122.45	203.86	212.95	190.19	243.96	188.82	170.89	179.89	135	200.6	199.95	190.19	221.86	219.55	186.51	134.18	131.46	190.19
199601	151.92	184.26	162.48	165.94	203.63	195.79	228.79	194.06	235.2	174.15	187.11	192.33	256.63	157.79	179.24	209.27	177.32	147.4	184.78	134.57	298.43	217.19	237.66	191.12	174.15	173.9	154.36	184.82	197.55	144.18	166.06	194.37	240.89	187.5	175.56	287.66	184.43	123.88	207.84	215.53	192.33	246.52	191.53	173.74	182.71	136.35	205.24	202.22	192.33	225.84	221.58	188	135.71	132.77	192.33
199602	154.32	184.2	162.6	166.18	201.02	198.52	225.82	190.14	233.19	173.22	188.03	192.67	251.34	159.2	177.59	209.93	179.02	150.23	186.37	136.28	298.82	214.98	234.74	196.42	175.4	176.23	154.99	186.29	199.36	142.8	169.57	193.92	238.97	187.03	174.98	285.83	186.15	124.88	210.78	213.11	192.67	241.62	192.49	173.09	184.47	136.11	207.58	201.77	192.67	222.48	221.76	189.81	137.15	133.66	192.67
199603	155.24	184.64	162.52	167.75	200.65	200.76	222.66	187.81	233.67	173.61	189.82	193.53	243.87	160.57	178.25	210.95	180.43	151.79	188.32	137.04	300.16	213.09	234.27	200.95	177.1	177.57	158.06	188.43	201.72	145.17	172.06	196.15	238.53	186.51	174.85	283.87	187.47	125.79	214.21	212.28	193.53	237.97	193.85	175.55	186.61	136.47	211.22	200.83	193.53	221.23	223.03	192.01	136.94	134.92	193.53
199604	156.93	186.77	164.32	169.43	201.69	203.45	224.06	188.66	236.16	174.47	191.28	195.04	238.74	161.61	179.59	212.96	182.72	153.17	190.12	139.05	303.98	215.66	238.24	203.6	179.03	179.64	159.08	189.85	203.36	145.16	173.01	197.25	238.36	187.71	176.68	283.78	189.34	126.5	217.86	213.66	195.04	239.68	196.71	174.66	188.28	136.92	214.88	202.55	195.04	221.29	224.92	194.23	136.93	134.9	195.04
199701	156.89	188.68	165.76	170.96	202.72	205.73	225.22	189.21	235.73	176.7	193.47	196.66	235.76	163.25	181.2	214.42	184.07	153.6	193.17	140.44	306.69	216.41	236.81	207.1	181.16	181.19	159.72	190.07	205.91	145.4	174.47	198.81	240.21	188.89	177.76	283.62	191.82	127	221.3	215.05	196.66	241.42	197.93	177.15	190.63	137.6	218.45	203.84	196.66	225.8	226.49	196.38	138.56	136.18	196.66
199702	157.9	190.12	167.39	172.09	204.74	208.53	226.37	190.54	236.09	176.55	195.76	198.31	230.5	165.05	181.62	215.93	186.02	156.02	194.16	141.4	311.27	215.46	238.94	211.57	183.12	182.91	160.77	190.8	208.42	146.26	178.01	201.49	241.1	189.96	177.8	287.15	193.35	127.82	223.87	215.01	198.31	239.88	200.23	180.48	192.39	138.68	219.6	204.4	198.31	222.78	229.36	198.09	140.78	137.49	198.31
199703	159.17	192.94	168.05	175.17	208.83	211.77	228.97	189.34	238.15	178.97	199.1	201.04	231.23	167.48	184.54	218.15	188.7	157.86	196.48	143.39	315.78	217.31	242.08	215.28	186.52	185.22	163.06	193.51	211.49	148.68	180.08	203.95	243.96	191.06	180.73	289.59	196.04	129.6	228.55	217.11	201.04	244.58	203.66	182.29	194.8	140.01	223.97	206.59	201.04	225.63	234.19	200.77	141.37	138.5	201.04
199704	161.1	195.54	170.14	177.74	212.48	215.07	231.25	189.4	240.31	182.02	201.87	203.64	228.96	168.94	186.8	220.17	191.09	159.77	198.91	145.74	320.67	219.77	245.83	218.29	189.26	186.96	165.5	197.03	214.6	150.83	182.5	207.12	246.36	192.88	181.59	292.49	198.45	131.39	231.04	219.34	203.64	247.67	206.45	184.78	197.52	141.65	227.91	208.67	203.64	225.63	237.17	202.8	143.66	140.68	203.64
199801	160.94	198.77	172.19	180.08	217.05	218.12	236.72	196.81	243.83	185.66	205.46	206.68	230.17	171.12	188.83	222.05	192.88	161.61	200.66	147.72	324.94	222.57	249.34	220.79	192.4	188.62	167.4	198.19	217.23	153.27	184.21	210	250.79	194.09	183.66	299.1	200.82	133.19	234.48	222.81	206.68	251.68	209.52	187.49	201.11	143.87	230.56	210.5	206.68	229.23	241.72	204.09	146.44	142.79	206.68
199802	163.61	200.45	172.19	181.82	221.73	220.72	236.87	198.22	244.62	185.5	207.34	208.55	230.3	173.29	189.59	222.95	194.55	163.19	203.04	149.03	331.78	222.46	251.27	224.98	193.77	190.49	170.19	198.05	218.84	154.54	185.31	214.03	251.72	194.05	184.29	301.45	202.68	134.32	236.18	223.21	208.55	250.42	211.8	188.35	202.6	144.85	232.73	211.43	208.55	229.34	245.35	206.47	146.48	142.5	208.55
199803	165.01	202.53	174.84	184.25	227.53	224.85	240.37	199.92	245.78	187.82	211.14	211.45	232.08	175.15	190.53	225.09	196.82	165.96	205.48	151.55	340.03	223.74	254.21	228.68	197.76	192.68	171.68	199.62	222.02	156.59	188.08	217.99	254.29	195.65	185.19	303.73	205.19	135.82	238.61	224.17	211.45	252.92	214.83	189.69	205.09	147.21	234.96	212.91	211.45	229.61	249.87	208.85	148.23	143.3	211.45
199804	164.93	205.01	176.96	186.56	231.89	227.57	243.48	205.56	247.01	190.67	214.31	213.95	230.79	177.37	191.83	226.78	198.54	167.82	208.18	152.93	345.03	225.92	257.95	230.81	200.11	194.37	173.41	201.67	224.27	157.19	190.35	221.69	256.2	197.63	186.35	307.72	207.4	138	240.85	227.14	213.95	255.75	217.72	189.57	207.41	148.79	237.21	214.95	213.95	232.77	252.8	209.62	149.93	143.58	213.95
199901	166.85	205.67	177.65	188.59	235.48	231.83	246.77	207.58	250.94	191.87	217.23	216.21	229.76	178.93	193.8	228.83	200.36	169.47	210.01	154.33	352	228.23	260.48	234.48	203.38	196.92	175.66	201.73	226.17	157.47	191.72	224.99	259.27	198	186.78	310.1	209.56	138.72	241.95	228.68	216.21	257.73	220.78	192.57	209.34	150.17	238.6	217.04	216.21	235.55	255.22	213.36	150.46	144.53	216.21
199902	170.39	206.44	177.92	191.01	239.54	238.95	249.84	212	252.86	193.36	220.57	219.11	227.69	181.55	194.6	231.56	201.45	172.79	212.41	155.94	363.56	229.12	266.19	239.6	209.49	200	178.14	203.87	228.58	157.92	195.29	231.47	262.91	197.67	186.36	316.04	211.37	140.08	243.44	229.21	219.11	260.24	223.69	194.9	209.9	153.08	237.49	219.64	219.11	237.18	259.7	216.77	150.59	146.89	219.11
199903	169.94	206.89	178.62	193.8	245.01	246.81	254.54	218.11	256.71	195.71	224.49	222.2	223.69	182.69	193.08	234.9	202.51	174.73	214.15	157.07	378.6	231.14	272.22	244.43	216	202.24	178.97	206.24	229.99	158.58	196.05	238.66	269.47	197.16	187.57	324.79	212.03	141.99	244.14	230.23	222.2	265.77	226.04	196.07	211.18	155.57	234.82	223.34	222.2	242.17	262.66	219.65	150.84	148.26	222.2
199904	170.18	208.41	179.28	195.65	250.22	251.13	257.73	224.46	258.18	198.07	227.16	224.5	223.65	183.81	192.98	237.27	203.54	175.75	215.99	157.47	387.39	233.62	274.5	247.45	218.89	204.22	178.73	205.84	231.03	156.93	197.41	243.29	272.3	198.17	187.73	330.73	213.36	142.15	245	231.33	224.5	270.3	227.94	197.12	212.03	157.54	235.78	226.32	224.5	244.66	264.77	220.95	149.94	148.47	224.5
200001	170.05	209.26	180.13	200.03	261.1	260.63	262.59	234.48	262.54	202.01	230.1	228.79	229.23	185.75	195.5	241.97	205.1	179.2	219.23	159.93	403.93	238.19	280.08	253.11	225.1	208.16	180.59	208.58	233.15	159.05	198.65	252.91	279.32	198.35	189.4	335.5	215.62	143.64	247.56	233.63	228.79	278.81	230.24	198.29	213.91	159.82	236.9	230.17	228.79	250.77	269.4	227.68	151.12	150.64	228.79
200002	172.01	211	181.88	202.4	268.15	267.02	269.66	243.08	266.99	205.57	233.78	232.52	229.63	188.26	195.64	246.12	206.84	180.66	221.17	160.56	416.9	240.75	288.04	256.62	231.77	210.71	181.92	210.62	236.01	159.98	201.37	261.4	286.17	199.04	191.88	345.59	218.23	145.23	249.19	236.99	232.52	287.33	233.14	201.94	215.03	162.47	236.95	234.84	232.52	254.87	272.14	228.89	152.16	152.28	232.52
200003	173.14	212.67	182.92	205.05	277.13	274.04	275.53	250.71	272.13	209.89	237.66	236.74	232.6	190.76	197.17	250.14	209.67	183.24	223.01	162.4	432.16	245.24	294.39	261.17	237.5	214.13	184.63	213.6	239.09	161.5	203.22	271.02	294.55	200.34	193.6	355.69	220.84	147.6	251.48	239.48	236.74	296.42	236.01	205.5	217.23	164.88	239.4	238.94	236.74	259.91	275.82	232.26	153.52	153.44	236.74
200004	173.74	215.41	185.41	208.2	285.72	280.27	279.26	255.46	275.57	214.32	241.53	240.4	238.39	192.17	199.63	253.01	211.56	185.12	225.88	163.78	442.53	248.99	300.34	264.92	242.17	216.7	185.94	216.81	241.61	163.12	204.77	278.64	299.05	201.57	196.52	361.12	223.7	148.58	254.3	242.29	240.4	302	239.18	205.63	219.28	166.83	242.82	243.09	240.4	264.68	279.33	235.08	155.05	156.96	240.4
200101	176.72	221.66	189.98	212.92	296.7	288.12	286.18	266.08	281.51	220.45	248.28	246.32	246.02	196.24	204.45	256.31	216.04	188.7	230.25	168	454.45	254.72	309.01	269.08	248.53	220.36	190.73	221	246.91	167.06	207.35	284.88	305.8	206.34	200.82	369.32	227.97	151.98	261.18	248.55	246.32	307.97	245.42	210.08	224.63	171.54	248.27	249.07	246.32	269.17	286.16	238.62	159.45	157.99	246.32
200102	180.26	222.62	191.14	216.16	305.74	293.97	292.29	278.28	286.26	226.05	251.33	250.45	249.83	198.36	206.67	260.74	217.78	190.98	232.36	169.74	468.2	259.65	314.83	272.56	255.21	223.66	191.91	223.7	249.1	168.28	209.62	294.67	314.4	207.82	203.39	377.5	230.33	153.57	263.63	252.55	250.45	318.64	248.13	213.2	225.81	173.8	248.82	254.86	250.45	274.5	290	241.86	160.9	161.12	250.45
200103	182.96	224.2	193.12	219.32	312.21	299.5	299.52	289.93	291.84	231.21	254.55	254.33	254.22	199.74	207.93	265.55	219.3	193.13	234.24	171.3	483.95	266.54	324.32	276.15	262.94	226.96	193.79	225.74	251	169.63	211.45	304.94	323.55	209.16	207.2	387.67	232.49	155.19	266	255.86	254.33	330.83	250	215.08	227.22	175.11	248.96	260.53	254.33	280.92	292.95	245.06	161.84	163.53	254.33
200104	183.25	226.75	195.05	221.47	316.59	301.97	304.73	298.66	295.97	236.81	257.89	257.48	257.85	202.15	210.32	268.04	221.28	194.86	236.12	172.92	493.71	270.83	329.36	278.43	266.46	229.22	195.39	227.32	253.39	170.96	213.1	310.39	329.95	210.72	209.82	394.44	234.4	156.95	268.33	259.13	257.48	337.83	252.93	216.04	229.95	177.07	251.6	264.14	257.48	284.41	294.91	246.93	163.28	165.57	257.48
200201	186.15	227.12	195.87	224.54	325.05	305.48	311.25	308.15	301.05	241.56	260.08	261.18	261.98	203.92	210.67	272.68	222.93	197.42	237.99	173.85	508.05	277.64	336.64	281.85	272.02	232.94	196.1	232.27	254.89	172.86	214.83	318.87	339.52	211.74	212.81	404.16	236.37	157.73	271.74	263.16	261.18	350.9	254.36	219.12	230.97	177.57	251.23	269.4	261.18	290.14	298.51	251.01	164.26	168.72	261.18
200202	191.36	228.32	196.72	227.45	336.09	308.79	320.1	319.34	308.84	248.88	262	265.62	267.94	204.92	211.77	277.51	223.58	199.39	239.61	175.27	526.7	286.74	347.24	284.99	279.23	236.02	195.48	234.42	255.99	174.49	216.15	330.09	352.16	214.66	216.34	416.75	237.99	159.33	273.58	267.69	265.62	368.19	255.81	222.06	231.39	179.07	250.68	276.95	265.62	296.44	302.12	254.44	166.05	171.35	265.62
200203	192.76	231.72	199.9	231.37	348.73	313.22	328.85	333.99	316.67	255.91	266.34	270.89	276.14	207.48	214.93	281.08	226.02	201.34	242.13	178.33	542.11	295.63	357.02	287.62	285.31	238.93	198.99	238.97	259.51	178.33	218.21	340.31	363.83	217.98	221.04	429.38	240.34	161.46	278.28	273.23	270.89	382.13	259.79	224.57	234.77	181.84	253.85	283.97	270.89	301.83	305.85	257.13	167.62	174.3	270.89
200204	192.35	234.37	202.34	234.06	358.89	315.15	335.75	343.93	321.72	261.74	269.46	274.73	279.63	209.23	217.09	284.27	227.03	202.94	244.43	180.94	554.35	301.67	363.54	289.43	289.7	241.84	200.97	241.2	261.23	180.29	219.66	347.98	372.23	219.83	223.53	438.67	241.93	163.46	280.53	277.95	274.73	394.16	262.06	225.95	236.86	183.77	255.13	287.87	274.73	304.43	308.44	258.98	170.03	176.01	274.73
200301	193.53	236.72	203.88	236.84	367.18	316	339.97	351.72	326.38	267.3	271.57	278.08	287.65	210.56	219.14	287.24	228.86	204.48	246.43	182.91	565.27	307.44	370.26	291.62	293.66	243.95	202.22	243.84	263.37	181.57	220.84	353.38	379.12	222.57	227.54	448.54	243.68	164.44	283.42	281.1	278.08	405.74	263.59	227.97	238.44	184.67	255.82	292.23	278.08	307.96	310.96	261.66	170.59	177.96	278.08
200302	196.54	238.83	205.16	239.3	374.03	317.41	345.58	358.59	333.45	273.75	273.35	281.46	294.36	212.17	220.99	290.15	229.98	205.91	248.38	184.78	574.42	314.1	375.55	293.87	297.08	245.66	203.83	248.78	265.14	184.2	222.07	358.81	385.75	225.13	232.05	459.17	245.45	166.55	286.06	284.76	281.46	415.37	266.12	229.14	240.46	185.84	256.73	296.99	281.46	313.03	313.63	263.99	172.38	182.03	281.46
200303	200.97	240.51	207.71	242.95	386.65	318.8	353.81	369.82	341.02	280.31	275.01	285.77	303	214.75	222.76	294.23	231.56	207.42	250.47	186.46	585.15	323.59	386.57	296.45	303.97	248.69	204.85	254.44	266.41	186.76	224.43	368.17	397.43	227.79	238.72	465.77	247.45	167.64	290.13	290.66	285.77	432.79	267.66	233.42	241.98	186.43	257.43	304.08	285.77	321.07	317.5	267.95	174.67	184.72	285.77
200304	208.7	242.01	210.77	251.21	411.38	322.53	366.7	389.6	353.9	293.32	278.49	293.86	320.1	218.08	226.07	303.45	233.59	210.63	254.08	189.58	610.16	341.13	400.97	300.77	314.89	254.37	206.52	261.29	268.89	190.42	228.08	382.59	417.57	232.78	253.1	487.72	250.83	169.31	297.51	299.3	293.86	460.96	270.2	238.23	244.64	187.53	257.63	316.43	293.86	337.38	325.58	276.7	176.21	187.94	293.86
200401	210.19	244.34	213.45	255.49	424.56	324.93	373.11	404.75	365.11	302.2	282.28	298.44	335.38	219.74	228.59	306.71	234.9	212.7	257.09	191.72	620.39	350.62	409.9	302.79	318.65	257.37	208.41	265.54	271.87	192.42	229.28	388.17	426.17	235.21	266.41	497.4	252.3	171.25	301.19	304.47	298.44	471.79	273.38	238.83	246.68	188.47	260.14	324.43	298.44	342.12	330.49	278.86	179.06	192.05	298.44
200402	215.29	245.87	217.01	264.59	451.05	327.37	385.07	424.56	373.4	316.34	284.13	305.67	354.42	222.1	234.39	313.72	235.7	214.89	259.34	194.6	634.94	366.96	421.76	304.84	324.93	260.68	210.63	272.25	274.3	195.78	232.57	398.62	439.65	240.49	290.59	511.07	253.82	172.78	310.25	312.55	305.67	493.28	275.64	243.15	249.39	190.3	262.49	336.9	305.67	351.76	340.37	284.5	182.55	197.02	305.67
200403	226.3	250.36	220.55	280.32	496.98	331.98	404.76	454.52	395.45	336.07	288.06	317.38	388.24	225.16	242.39	324.06	238.37	217.12	262.49	197.82	665.48	394	441.68	309.05	335.87	266.66	213.47	282.02	277.21	201.24	237.13	416.21	469.11	246.6	327.6	537.22	256.8	174.12	323.96	325.44	317.38	528.03	281.02	248.22	253.05	191.82	265.95	358.39	317.38	374.65	354.58	295.07	185.9	204.16	317.38
200404	228.64	254.15	224.42	291.67	515.94	335.1	412.55	479.07	407.57	351.42	292.53	324.14	402.65	227.7	248.61	328.67	240.98	219.65	267.49	200.53	676.48	407.43	450.91	312.37	340.81	270.33	216.49	288.26	281.88	205.77	239.05	424.39	481.02	251.68	339.77	550.63	259.49	177.18	331.51	332.63	324.14	541.36	286.05	251.39	256.04	194.01	270.84	370.74	324.14	382.24	362.77	298.47	189.28	208.03	324.14
200501	234.3	257.49	227.58	309.4	538.48	338.63	423.14	500.8	419.02	370.36	296.36	331.6	421.56	230.25	254.76	335.43	242.58	221.89	269.33	202.69	690.93	425.62	464.24	315.03	347.31	274.86	217.73	295.5	286.41	206.82	240.73	435.44	495.3	256.8	353.64	565.65	261.92	178.14	341.53	339.69	331.6	552.35	291.15	255.21	259.59	195.07	275.82	385.52	331.6	393.54	374.39	303.93	193.47	212.78	331.6
200502	243.46	263.63	232.77	341.5	569.87	343.51	437.37	529.64	436.76	397.71	300.35	342.19	445.67	233.07	266.1	343.33	244.73	224.94	273.06	206.93	707.24	451.41	474.69	316.75	354.45	278.9	221.98	307.56	290.27	213.6	244.23	445.85	516.82	268.19	372.56	584.37	263.84	181.18	359.73	351.26	342.19	574.8	296.34	261.18	265.21	198.11	284.68	407.5	342.19	406.98	394.38	309.42	199.32	218.83	342.19
200503	251.94	269.13	237.93	370.24	597.95	348.83	449.24	561.69	456.2	425.26	305.34	352.52	474.31	236.69	281.95	350.34	248.32	227.69	277.55	210.87	718.18	474.57	486.77	319.39	360.91	283.88	226.64	316.35	296.66	218.24	247.62	456.37	536.64	278.46	385.47	604.14	266.42	184.56	379.69	362.68	352.52	587.81	303.64	264.84	270.56	201.37	295.15	426.84	352.52	422.01	411.75	315.38	206.17	227.12	352.52
200504	259.52	274.55	241.19	395.77	624.73	351.97	458.33	590.02	465.91	447.59	309.29	360.52	500.24	238.64	294.88	356.74	248.98	228.8	278.86	217.91	723.28	493.92	494.13	318.61	364.94	287.03	231.64	326.94	303	220.95	246.85	461.56	552.87	286.71	399.97	617.95	266.87	186.7	396.31	370.35	360.52	597.01	310.41	269.25	274.93	203.71	305.01	438.73	360.52	430.22	429.09	318.44	209.38	233.39	360.52
200601	263.63	280.06	244.82	410.64	637.61	353.07	464.51	598.28	475.57	465.09	312.45	366.24	519.14	238.66	305.42	361.48	248.97	229.95	281.61	224.56	724.08	507.29	499.48	317.4	366.81	289.84	235.51	333.4	308.08	222.1	247.1	465.27	563.51	295.04	408.97	628.77	266.87	187.98	410.66	376.99	366.24	602.38	314.73	269.27	279.47	206.04	315.33	448.86	366.24	436.97	444.26	320.77	213.27	239.85	366.24
200602	270.16	284.7	248.21	419.38	643.29	354.66	466.63	606.17	484.45	474.99	314.31	369.98	523.08	240.05	317.05	364.29	248.52	232.04	282.43	230.4	715.2	517.73	496.22	312.14	364.81	290.29	242.23	343.6	312.43	228.42	249.51	462.42	569.91	305.87	409.29	630.86	265.83	190.6	427.16	381.13	369.98	602.46	319.77	273.6	284.85	209.35	328.73	457.13	369.98	446.3	459.74	320.52	211.41	247.31	369.98
