YYYYQQ	AK	AL	AR	AZ	CA	CO	CT	DC	DE	FL	GA	GU	HI	IA	ID	IL	IN	KS	KY	LA	MA	MD	ME	MI	MN	MO	MS	MT	NC	ND	NE	NH	NJ	NM	NV	NY	OH	OK	OR	PA	PR	RI	SC	SD	TN	TX	UT	VA	VI	VT	WA	WI	WV	WY	ZZ
198002	82.17	103.86	101.02	98.82	102.91	102.15	101.83	96.18	108.27	99.91	100.27	101.55	100.89	100.71	98.79	100.45	98.39	101.56	101.47	98.96	104.25	103.01	102.84	101.94	102	111.18	97.5	93.09	98.23	107.97	103.3	97.28	101.53	97.9	101.74	107.06	99.45	98.92	98.55	95.95	101.55	103.19	103.35	107.44	99.69	104.74	97.58	101.08	101.55	100.99	100.44	100.81	105.93	97.55	101.55
198003	71.31	110.25	106.78	106.8	106.59	106.77	104.19	98.77	110.48	106.21	102.09	104.48	100.84	101.43	104.03	102.07	101.77	102.63	101.41	101.26	108.79	104.82	110.27	102.73	106.82	105.33	104.06	107.46	101.31	99.85	101.77	102.41	100.8	99.01	104.69	114.62	101.89	103.86	105.13	101.33	104.48	103.01	108.97	101.62	99.46	104.38	103.88	104.39	104.48	104.67	103.32	105.08	105.09	101.8	104.48
198004	92.12	109.45	108.89	107.41	108.41	106.42	105.26	101.09	107.84	109.11	102.68	104.75	107.09	97.54	98.73	99.84	100.98	104.47	105.03	102.66	109.33	107.51	106.6	101.75	104.59	105.56	102.74	100.05	102.7	93.86	105.94	99.04	103.86	105.36	105.39	111.26	103.23	101.71	101.68	101.24	104.75	99.77	105.35	97.5	99.68	106.16	103.92	104.16	104.75	113.7	102.17	101.41	115.9	93.71	104.75
198101	87.26	105.8	110.03	108.28	110.7	106.67	104.01	94.21	109.58	111.02	107.37	105.32	101.93	94.65	108.7	101.09	103.78	99.15	108.02	106.62	113	110.69	126.49	103.03	100.62	103.64	94.72	95.45	105.62	102.85	103.26	98.42	104.33	101.9	107.99	112.3	103.03	102.73	97.5	101.51	105.32	97.94	110.6	92.61	96.9	105.41	105.69	106.36	105.32	110.53	100.06	102.72	103.94	103.15	105.32
198102	107.19	109.52	107.14	111.43	113.13	108.5	110.48	105.29	103.89	112.88	107.83	107.41	97.99	92.58	100.97	107.16	102.37	103.81	106.04	108.32	119.39	112.68	115.22	103.37	100.56	103.61	114.71	101.92	106.31	96.87	103.06	100.45	105.77	111.69	117.49	108.68	103.47	106.51	98.46	103.45	107.41	106.53	114.75	98.87	106.16	111.89	109.6	105.32	107.41	109.08	104.96	102.71	86.41	109.15	107.41
198103	114.94	113.34	110.74	117.26	116.54	114.77	114.26	96.83	116.7	108.94	108.6	109.23	85.43	87.86	98.77	106.1	104.77	102.97	103.41	111.26	122	110.67	109.72	106.09	104.41	103.15	107.64	113.62	105.93	118.31	100.9	99.51	107.56	114.42	117.78	115.58	103.09	111.6	95.74	104.16	109.23	103.97	117.37	104.3	108.19	115.59	109.33	106.15	109.23	101.81	105.83	103.07	117.71	110.85	109.23
198104	127.32	107.04	102.8	110.38	117.82	114.59	112.34	103.86	106.69	114.61	112.48	109.13	49.57	102.65	116.4	108.29	107.06	105.63	104.32	113.05	122.31	114.34	116.64	105.24	107.01	102.18	93.01	99.9	104.4	109.12	100.44	108	107.64	118.31	113.25	115.3	101.49	113.35	89.77	100.97	109.13	100.57	115.2	87.65	106.22	120.42	112.24	109.41	109.13	63.13	106.13	91.55	101.47	108.81	109.13
198201	134.39	109.43	103.99	106.35	115.4	119.36	111.95	89.95	102.16	119.18	113.45	110.97	112.55	94.08	99.14	104.49	103.97	104.02	107.02	114.07	124.05	115.48	108.91	104.7	108.03	103.49	102.85	104.96	107.06	102.67	106.6	106.27	111.05	121.6	119.73	129.57	101	116.07	100.28	104.91	110.97	103.35	118.52	69.09	106.1	124.2	107.6	107.92	110.97	122.25	106.18	86.8	101.47	111.92	110.97
198202	128.55	108.14	106.4	111.76	116.4	121.27	112	103.38	118.86	120.38	115.36	111.86	103.06	96.87	109.24	103.4	103.9	104.41	106.98	115.53	125.25	111.75	135.87	99.63	107.25	101.79	105.27	115.26	109.42	84.06	107.2	100.06	112.17	125.36	120	133.59	98.25	118.88	93.88	107.06	111.86	103.79	117.73	110.43	105.82	125.04	109.7	108.27	111.86	117.05	103.75	96.29	116.39	109.49	111.86
198203	139.11	107.89	111.07	108.58	116.96	122.6	110.97	93.39	113.92	122.59	114.13	110.83	100.44	89.94	103.23	99.29	101.7	105.6	105.29	115.19	127.31	114.77	110.41	98.04	107.1	103.75	109.33	96.8	109.48	72.23	109.19	109	111.38	130.37	120.03	124.85	101.89	119.66	96.03	104.93	110.83	104.14	120.43	105.8	106.21	124.02	111.86	104.27	110.83	107.56	99.78	98.78	85.75	109.56	110.83
198204	137.92	115.28	109.32	110.39	116.92	126.83	113.02	99.88	117.08	122.85	116.37	112.23	86.32	94.37	110.46	101.23	104.17	105.48	107.37	115.32	128.51	111.62	114.42	88.06	109.24	104.23	108.18	112.78	111.84	88.2	108.95	106.09	109.35	124.39	123.13	128.83	103.17	122.72	102.42	105.42	112.23	108.7	120.2	119.41	107.19	126.95	115.61	113.46	112.23	114.16	105.8	99.75	87.32	113.16	112.23
