UBCohort	"Type=SCurveBy,x=spread, NonBlank=yes, KeepByVarOrder=1/y=cpr1: currb, DateWindowPeriod=199405: current, ExcludePoolType=RF, Product_by=list: grid: fn_fix_30: fn_fix_15: fh_fix_30: fh_fix_15: g1_fix_30: g1_fix_15: g2_fix_30: g2_fix_15, JointDistribution=Product_by,"
Script finished successfully Began at: 02/18/2019 09:42:14 Ended at: 02/18/2019 09:43:15 Ran for (hh:mm:ss): 00:01:01 1270784218 www.kdsglobal.com/kds

by_Product	eit	Cpr1	CBal	
g1_fix_30                               	-100	6.7842	1,953,284,178,486	
g1_fix_30                               	-75	8.1582	3,841,983,294,649	
g1_fix_30                               	-50	8.5910	4,579,722,230,483	
g1_fix_30                               	-25	10.0023	7,003,766,594,756	
g1_fix_30                               	0	9.9041	8,762,990,399,798	
g1_fix_30                               	25	13.1087	9,363,810,318,300	
g1_fix_30                               	50	15.5298	10,539,547,545,134	
g1_fix_30                               	75	20.3827	8,811,704,530,781	
g1_fix_30                               	100	24.7815	9,314,064,161,039	
g1_fix_30                               	125	28.7474	6,282,975,248,473	
g1_fix_30                               	150	30.4390	6,784,124,586,994	
g1_fix_30                               	175	31.2308	3,791,871,709,413	
g1_fix_30                               	200	29.7438	3,412,310,988,313	
g1_fix_30                               	225	29.5536	1,960,651,456,380	
g1_fix_30                               	250	28.5769	1,884,196,179,536	
g1_fix_15                               	-250	3.6766	240,322,161	
g1_fix_15                               	-225	2.8464	9,862,383,562	
g1_fix_15                               	-200	3.6864	8,042,614,433	
g1_fix_15                               	-175	5.0517	41,855,035,646	
g1_fix_15                               	-150	5.7121	66,224,872,015	
g1_fix_15                               	-125	7.1698	125,143,419,987	
g1_fix_15                               	-100	7.4433	196,938,064,878	
g1_fix_15                               	-75	8.5503	253,324,207,250	
g1_fix_15                               	-50	8.5494	360,536,152,370	
g1_fix_15                               	-25	9.0730	462,394,272,478	
g1_fix_15                               	0	9.2607	520,623,785,395	
g1_fix_15                               	25	10.1384	685,440,558,790	
g1_fix_15                               	50	11.6490	564,928,286,883	
g1_fix_15                               	75	13.1993	603,678,587,709	
g1_fix_15                               	100	17.0595	440,211,929,459	
g1_fix_15                               	125	19.0374	485,760,256,481	
g1_fix_15                               	150	21.1055	292,989,508,988	
g1_fix_15                               	175	22.2463	306,589,037,706	
g1_fix_15                               	200	22.4754	144,261,869,787	
g1_fix_15                               	225	21.8619	151,754,654,763	
g1_fix_15                               	250	21.0808	71,663,001,986	
g2_fix_30                               	-250	3.1929	2,449,140,421	
g2_fix_30                               	-225	2.2140	6,205,602,392	
g2_fix_30                               	-200	5.2719	21,348,036,763	
g2_fix_30                               	-175	6.2507	58,872,606,597	
g2_fix_30                               	-150	8.3728	571,705,680,580	
g2_fix_30                               	-125	9.9943	2,417,610,664,761	
g2_fix_30                               	-100	8.2071	4,690,727,282,116	
g2_fix_30                               	-75	10.0793	9,545,772,128,511	
g2_fix_30                               	-50	9.5833	12,484,379,155,724	
g2_fix_30                               	-25	11.3528	13,554,520,401,712	
g2_fix_30                               	0	11.6394	18,015,935,666,708	
g2_fix_30                               	25	15.4853	13,398,040,873,759	
g2_fix_30                               	50	17.0525	13,307,546,528,077	
g2_fix_30                               	75	20.6996	8,518,674,896,206	
g2_fix_30                               	100	23.2910	7,738,133,209,832	
g2_fix_30                               	125	27.5724	5,281,973,846,526	
g2_fix_30                               	150	29.3475	4,163,669,873,523	
g2_fix_30                               	175	31.7284	2,592,678,169,118	
g2_fix_30                               	200	30.5302	1,968,034,916,184	
g2_fix_30                               	225	30.4538	1,045,033,402,114	
g2_fix_30                               	250	29.0994	991,770,448,142	
g2_fix_15                               	-250	0.4205	15,369,757	
g2_fix_15                               	-225	4.7338	224,122,381	
g2_fix_15                               	-200	7.5003	507,000,649	
g2_fix_15                               	-175	7.1107	2,105,227,750	
g2_fix_15                               	-150	8.9019	10,017,382,632	
g2_fix_15                               	-125	9.8141	55,014,473,188	
g2_fix_15                               	-100	10.5261	75,211,305,721	
g2_fix_15                               	-75	10.3640	110,382,939,812	
g2_fix_15                               	-50	8.8658	280,756,514,598	
g2_fix_15                               	-25	9.2009	320,904,702,830	
g2_fix_15                               	0	9.9190	451,500,811,495	
g2_fix_15                               	25	10.6279	515,866,100,840	
g2_fix_15                               	50	12.5000	384,383,626,398	
g2_fix_15                               	75	15.2884	293,594,133,710	
g2_fix_15                               	100	19.5308	181,514,225,438	
g2_fix_15                               	125	19.8628	108,014,664,353	
g2_fix_15                               	150	21.6461	80,684,539,131	
g2_fix_15                               	175	22.1289	44,332,281,423	
g2_fix_15                               	200	22.0749	25,366,410,555	
g2_fix_15                               	225	22.3378	18,119,100,063	
g2_fix_15                               	250	21.1080	10,864,602,559	
